FlightDate,Airline,Origin,Dest,Cancelled,Diverted,CRSDepTime,DepTime,DepDelayMinutes,DepDelay,ArrTime,ArrDelayMinutes,AirTime,CRSElapsedTime,ActualElapsedTime,Distance,Year,Quarter,Month,DayofMonth,DayOfWeek,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DestCityName,DestState,DestStateFips,DestStateName,DestWac,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,DistanceGroup,DivAirportLandings
2022-04-28,Southwest Airlines Co.,STL,BOS,False,False,1930,1929.0,0.0,-1.0,2252.0,0.0,131.0,145.0,143.0,1047.0,2022,2,4,28,4,WN,WN,19393,WN,2563,WN,19393,WN,N8620H,2563,15016,1501606,31123,"St. Louis, MO",MO,29,Missouri,64,10721,1072102,30721,"Boston, MA",MA,25,Massachusetts,13,0.0,-1.0,1900-1959,8.0,1937.0,2248.0,4.0,2255.0,-3.0,0.0,-1.0,2200-2259,5.0,0.0
2022-04-04,Southwest Airlines Co.,LAX,LIH,False,False,800,757.0,0.0,-3.0,1036.0,0.0,324.0,355.0,339.0,2615.0,2022,2,4,4,1,WN,WN,19393,WN,1376,WN,19393,WN,N8717M,1376,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,12982,1298202,32982,"Lihue, HI",HI,15,Hawaii,2,0.0,-1.0,0800-0859,10.0,807.0,1031.0,5.0,1055.0,-19.0,0.0,-2.0,1000-1059,11.0,0.0
2022-04-24,Southwest Airlines Co.,SJC,LAS,False,False,1850,1850.0,0.0,0.0,2003.0,0.0,59.0,90.0,73.0,386.0,2022,2,4,24,7,WN,WN,19393,WN,4125,WN,19393,WN,N8687A,4125,14831,1483106,32457,"San Jose, CA",CA,6,California,91,12889,1288903,32211,"Las Vegas, NV",NV,32,Nevada,85,0.0,0.0,1800-1859,10.0,1900.0,1959.0,4.0,2020.0,-17.0,0.0,-2.0,2000-2059,2.0,0.0
2022-04-02,Southwest Airlines Co.,SAN,DEN,False,False,810,809.0,0.0,-1.0,1112.0,0.0,108.0,135.0,123.0,853.0,2022,2,4,2,6,WN,WN,19393,WN,3366,WN,19393,WN,N257WN,3366,14679,1467903,33570,"San Diego, CA",CA,6,California,91,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,0.0,-1.0,0800-0859,11.0,820.0,1108.0,4.0,1125.0,-13.0,0.0,-1.0,1100-1159,4.0,0.0
2022-04-22,Southwest Airlines Co.,ATL,OKC,False,False,1440,1437.0,0.0,-3.0,1536.0,0.0,109.0,135.0,119.0,761.0,2022,2,4,22,5,WN,WN,19393,WN,2689,WN,19393,WN,N7751A,2689,10397,1039707,30397,"Atlanta, GA",GA,13,Georgia,34,13851,1385103,33851,"Oklahoma City, OK",OK,40,Oklahoma,73,0.0,-1.0,1400-1459,8.0,1445.0,1534.0,2.0,1555.0,-19.0,0.0,-2.0,1500-1559,4.0,0.0
2022-04-14,Southwest Airlines Co.,LAS,MDW,False,False,620,622.0,2.0,2.0,1131.0,0.0,170.0,210.0,189.0,1521.0,2022,2,4,14,4,WN,WN,19393,WN,1305,WN,19393,WN,N8320J,1305,12889,1288903,32211,"Las Vegas, NV",NV,32,Nevada,85,13232,1323202,30977,"Chicago, IL",IL,17,Illinois,41,0.0,0.0,0600-0659,14.0,636.0,1126.0,5.0,1150.0,-19.0,0.0,-2.0,1100-1159,7.0,0.0
2022-04-02,Southwest Airlines Co.,SMF,AUS,False,False,600,647.0,47.0,47.0,1208.0,53.0,181.0,195.0,201.0,1481.0,2022,2,4,2,6,WN,WN,19393,WN,2639,WN,19393,WN,N405WN,2639,14893,1489302,33192,"Sacramento, CA",CA,6,California,91,10423,1042302,30423,"Austin, TX",TX,48,Texas,74,1.0,3.0,0600-0659,16.0,703.0,1204.0,4.0,1115.0,53.0,1.0,3.0,1100-1159,6.0,0.0
2022-04-10,Southwest Airlines Co.,MDW,MCI,False,False,2255,2318.0,23.0,23.0,39.0,19.0,65.0,85.0,81.0,405.0,2022,2,4,10,7,WN,WN,19393,WN,1393,WN,19393,WN,N8805L,1393,13232,1323202,30977,"Chicago, IL",IL,17,Illinois,41,13198,1319801,33198,"Kansas City, MO",MO,29,Missouri,64,1.0,1.0,2200-2259,10.0,2328.0,33.0,6.0,20.0,19.0,1.0,1.0,0001-0559,2.0,0.0
2022-04-14,Southwest Airlines Co.,BNA,ATL,False,False,2130,2139.0,9.0,9.0,2334.0,0.0,36.0,65.0,55.0,214.0,2022,2,4,14,4,WN,WN,19393,WN,1987,WN,19393,WN,N7704B,1987,10693,1069302,30693,"Nashville, TN",TN,47,Tennessee,54,10397,1039707,30397,"Atlanta, GA",GA,13,Georgia,34,0.0,0.0,2100-2159,13.0,2152.0,2328.0,6.0,2335.0,-1.0,0.0,-1.0,2300-2359,1.0,0.0
2022-04-10,Southwest Airlines Co.,BWI,ISP,False,False,1105,1121.0,16.0,16.0,1219.0,0.0,45.0,75.0,58.0,220.0,2022,2,4,10,7,WN,WN,19393,WN,2472,WN,19393,WN,N8572X,2472,10821,1082106,30852,"Baltimore, MD",MD,24,Maryland,35,12391,1239103,31703,"Islip, NY",NY,36,New York,22,1.0,1.0,1100-1159,9.0,1130.0,1215.0,4.0,1220.0,-1.0,0.0,-1.0,1200-1259,1.0,0.0
2022-04-10,Southwest Airlines Co.,LAS,DEN,False,False,655,703.0,8.0,8.0,940.0,0.0,78.0,115.0,97.0,628.0,2022,2,4,10,7,WN,WN,19393,WN,2232,WN,19393,WN,N7729A,2232,12889,1288903,32211,"Las Vegas, NV",NV,32,Nevada,85,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,0.0,0.0,0600-0659,13.0,716.0,934.0,6.0,950.0,-10.0,0.0,-1.0,0900-0959,3.0,0.0
2022-04-03,Southwest Airlines Co.,DEN,LGB,False,False,820,819.0,0.0,-1.0,944.0,0.0,128.0,145.0,145.0,854.0,2022,2,4,3,7,WN,WN,19393,WN,2711,WN,19393,WN,N230WN,2711,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,12954,1295407,32575,"Long Beach, CA",CA,6,California,91,0.0,-1.0,0800-0859,12.0,831.0,939.0,5.0,945.0,-1.0,0.0,-1.0,0900-0959,4.0,0.0
