"Chattanooga,","Capital Cargo International,Allegiant Air,Air Wisconsin Airlines Corp,Comair Inc.,Envoy Air,Republic Airlines,SkyWest Airlines Inc.,Delta Air Lines Inc.,Endeavor Air Inc."
"Cheyenne,",SkyWest Airlines Inc.
"Chicago,","Mesa Airlines Inc.,American Airlines Inc.,Capital Cargo International,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Allegiant Air,Spirit Air Lines,Horizon Air,JetBlue Airways,Envoy Air,Alaska Airlines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"Christi,","Mesa Airlines Inc.,Commutair Aka Champlain Enterprises, Inc.,Envoy Air,SkyWest Airlines Inc.,Southwest Airlines Co."
"Christiansted,","American Airlines Inc.,Spirit Air Lines,Delta Air Lines Inc."
"Cincinnati,","Mesa Airlines Inc.,American Airlines Inc.,Capital Cargo International,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Allegiant Air,Commutair Aka Champlain Enterprises, Inc.,Comair Inc.,Envoy Air,Alaska Airlines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"City,","Mesa Airlines Inc.,American Airlines Inc.,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Commutair Aka Champlain Enterprises, Inc.,Allegiant Air,Comair Inc.,Spirit Air Lines,Horizon Air,JetBlue Airways,Envoy Air,Alaska Airlines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"City/Kingsport,","Capital Cargo International,Allegiant Air,Comair Inc.,SkyWest Airlines Inc.,Endeavor Air Inc."
"City/Midland,","Air Wisconsin Airlines Corp,SkyWest Airlines Inc.,Endeavor Air Inc."
"Claire,",SkyWest Airlines Inc.
"Clarksburg/Fairmont,","Allegiant Air,SkyWest Airlines Inc."
"Cleveland,","Mesa Airlines Inc.,American Airlines Inc.,Capital Cargo International,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Commutair Aka Champlain Enterprises, Inc.,Allegiant Air,Comair Inc.,Spirit Air Lines,JetBlue Airways,Envoy Air,Alaska Airlines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"Cloud,",Allegiant Air
"Cody,","Commutair Aka Champlain Enterprises, Inc.,SkyWest Airlines Inc."
College,"Commutair Aka Champlain Enterprises, Inc.,Envoy Air,SkyWest Airlines Inc."
"College,","Capital Cargo International,Allegiant Air,Air Wisconsin Airlines Corp,SkyWest Airlines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
Colorado,"Mesa Airlines Inc.,American Airlines Inc.,Commutair Aka Champlain Enterprises, Inc.,Envoy Air,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,United Air Lines Inc."
"Columbia,","Mesa Airlines Inc.,Capital Cargo International,Commutair Aka Champlain Enterprises, Inc.,Air Wisconsin Airlines Corp,Comair Inc.,Envoy Air,Republic Airlines,SkyWest Airlines Inc.,Delta Air Lines Inc.,Endeavor Air Inc."
"Columbus,","Mesa Airlines Inc.,American Airlines Inc.,Capital Cargo International,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Allegiant Air,Commutair Aka Champlain Enterprises, Inc.,Comair Inc.,Spirit Air Lines,Envoy Air,Alaska Airlines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"Concord,",Allegiant Air
"Cordova,",Alaska Airlines Inc.
Corpus,"Mesa Airlines Inc.,Commutair Aka Champlain Enterprises, Inc.,Envoy Air,SkyWest Airlines Inc.,Southwest Airlines Co."
"Crosse,","Envoy Air,SkyWest Airlines Inc."
DC,"Mesa Airlines Inc.,American Airlines Inc.,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Delta Air Lines Inc.,Southwest Airlines Co.,United Air Lines Inc.,Allegiant Air,Commutair Aka Champlain Enterprises, Inc.,Comair Inc.,JetBlue Airways,Envoy Air,Alaska Airlines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
DE,Frontier Airlines Inc.
